"","idx","script","speaker","time_from","time_to"
"1","4","아, 뭐여?",NA,"00:01:24,958","00:01:26,166"
"2","5","또 돼지들 싹 잡아다 파묻는 거여?",NA,"00:01:26,833","00:01:29,125"
"3","6","아이구, 구제역이 아니구유",NA,"00:01:29,833","00:01:31,416"
"4","7","아, 그 요 앞에 그 바이오 단지에서 뭐가 찌끔",NA,"00:01:31,916","00:01:34,125"
"5","8","샜다고 이러네유",NA,"00:01:34,333","00:01:35,500"
"6","9","아, 별거 아녀유 ","공익","00:01:35,583","00:01:38,958"
"7","9","아, 접때두 그러드만!",NA,"00:01:35,583","00:01:38,958"
"8","10","이번에도 그냥 돼지들 싹 다 파묻는다 그러면",NA,"00:01:40,541","00:01:43,166"
"9","11","나 아주 환장혀!",NA,"00:01:43,958","00:01:45,208"
"10","13","아이고, 걱정 붙들어 매고 얼른 들어가서 일 보셔유, 예?",NA,"00:01:47,416","00:01:50,708"
"11","14","아이, 들어가셔유",NA,"00:01:51,708","00:01:52,875"
"12","15","으휴 ","김 씨","00:01:53,250","00:01:54,291"
"13","15","예","공익","00:01:53,250","00:01:54,291"
"14","16","찌끔 새긴 뭐가 찌끔 샜단 말이여?",NA,"00:01:59,208","00:02:01,791"
"15","17","저놈들 하는 말은 믿을 수가 있어야지",NA,"00:02:03,083","00:02:05,250"
"16","19","아이고, 아이고","김 씨","00:02:11,083","00:02:13,208"
"17","20","에잇",NA,"00:02:14,541","00:02:16,041"
"18","21","아이고",NA,"00:02:16,125","00:02:17,500"
"19","22","하이고, 참","김 씨","00:02:25,541","00:02:27,291"
"20","24","에헤이 재수가 없으려니까 진짜, 씨",NA,"00:02:36,583","00:02:39,083"
"21","27","으휴",NA,"00:02:44,833","00:02:45,875"
"22","31","상무님",NA,"00:03:34,458","00:03:35,458"
"23","32","이 타이밍에 저희가 빠지면","석우","00:03:35,583","00:03:37,083"
"24","33","남는 사람들 건 전부 휴지 조각 될 텐데요",NA,"00:03:37,166","00:03:39,208"
"25","34","아직 정확히 원인 규명도 안 됐고요",NA,"00:03:39,791","00:03:41,750"
"26","35","그리고 역정보 가능성도...",NA,"00:03:42,375","00:03:43,541"
"27","36","예, 그렇게 하겠습니다",NA,"00:03:46,208","00:03:47,708"
"28","37","예?",NA,"00:03:49,625","00:03:50,625"
"29","38","아휴, 아이, 아닙니다 아직 미천한 실력인데요, 뭐",NA,"00:03:51,541","00:03:55,291"
"30","39","예, 그럼 필드에서 기다리고 있겠습니다",NA,"00:03:56,458","00:03:59,375"
"31","40","예, 예, 들어가십시오",NA,"00:04:00,291","00:04:02,000"
"32","46","김 대리 좀 들어오라고 해",NA,"00:04:17,916","00:04:20,166"
"33","51","어떡할까요?",NA,"00:04:36,541","00:04:38,208"
"34","52","관련 종목 뽑아서 전부 던져",NA,"00:04:39,000","00:04:40,708"
"35","53","전부 다요?",NA,"00:04:41,375","00:04:42,416"
"36","54","어",NA,"00:04:42,500","00:04:43,458"
"37","55","그러면 좀 파장이 있을 텐데요",NA,"00:04:43,833","00:04:45,916"
"38","56","시장 안정성이란 것도 있고",NA,"00:04:46,416","00:04:48,208"
"39","57","아무래도 개미들 입장에선",NA,"00:04:48,458","00:04:49,875"
"40","58","좀... ","김 대리","00:04:49,958","00:04:51,000"
"41","58","김 대리",NA,"00:04:49,958","00:04:51,000"
"42","59","예","김 대리","00:04:51,416","00:04:52,333"
"43","60","너 개미 입장까지 생각하면서 일하냐?",NA,"00:04:53,208","00:04:55,041"
"44","61","전부 매도해 지금 바로",NA,"00:04:57,666","00:04:58,916"
"45","62","예",NA,"00:05:00,666","00:05:01,625"
"46","63","잠깐만, 김 대리",NA,"00:05:04,416","00:05:05,625"
"47","64","그...",NA,"00:05:06,916","00:05:07,916"
"48","65","요즘 애들 뭐 좋아하는지 그런 거 좀 아나?",NA,"00:05:08,500","00:05:11,333"
"49","68","됐어, 우리 괜히 소송이니 그런 걸로 서로 힘 빼지 말자","나영","00:05:17,125","00:05:21,000"
"50","69","야, 소송을 걸든 뭘 하든 네 마음대로 해봐",NA,"00:05:21,416","00:05:23,958"
"51","70","수안이 내가 키워",NA,"00:05:24,125","00:05:25,583"
"52","71","당신이 무슨 애를 키워?","나영","00:05:25,750","00:05:27,541"
"53","72","가끔 수안이랑 얘기는 해?",NA,"00:05:28,208","00:05:29,708"
"54","73","수안이가 내일 여길 오겠대 자기 혼자서라도!",NA,"00:05:31,166","00:05:33,708"
"55","74","알고 있었어? ","나영","00:05:34,541","00:05:37,375"
"56","74","야, 그게 뭔 소리야?",NA,"00:05:34,541","00:05:37,375"
"57","75","하, 진짜 애 아빠라는 사람이","나영","00:05:38,458","00:05:40,458"
"58","76","애가 혼자 어딜 가?",NA,"00:05:40,791","00:05:42,291"
"59","77","그럼 당신이 데려오든가","나영","00:05:42,708","00:05:44,458"
"60","78","오고 싶다잖아",NA,"00:05:45,125","00:05:46,541"
"61","79","내일 안 돼",NA,"00:05:46,916","00:05:48,083"
"62","80","내일 애 생일인 거는 아는 거지?","나영","00:05:48,541","00:05:50,708"
"63","81","알아!",NA,"00:05:51,291","00:05:52,291"
"64","84","아이고","석우 모","00:06:10,166","00:06:12,333"
"65","86","어","석우 모","00:06:18,375","00:06:19,416"
"66","87","저녁은?",NA,"00:06:20,458","00:06:21,541"
"67","88","대충요",NA,"00:06:21,791","00:06:22,791"
"68","89","수안이는요?",NA,"00:06:23,333","00:06:24,333"
"69","91","저녁 먹고",NA,"00:06:25,625","00:06:26,708"
"70","92","제 방에 있다",NA,"00:06:27,458","00:06:28,541"
"71","93","혼자서도 기차 탈 수 있어","수안","00:06:29,791","00:06:32,625"
"72","94","아, 왜! 엄마가 역으로 마중 나오면 되잖아",NA,"00:06:33,791","00:06:37,041"
"73","96","엄마 끊어",NA,"00:06:41,041","00:06:42,708"
"74","99","괜찮아, 마저 통화해",NA,"00:06:57,000","00:06:58,333"
"75","100","끊었어요",NA,"00:06:58,625","00:06:59,916"
"76","102","너 엄마한테 부산 가겠다고 했다며?",NA,"00:07:03,375","00:07:05,083"
"77","103","수안아, 아빠가, 하 요즘에 일이 너무 많네",NA,"00:07:07,208","00:07:10,208"
"78","104","다음 주면 괜찮을 것 같은데",NA,"00:07:12,041","00:07:14,083"
"79","105","수안이가 이해 좀 해주면 안 될까?","석우","00:07:14,166","00:07:16,208"
"80","106","아",NA,"00:07:19,041","00:07:20,041"
"81","107","자",NA,"00:07:24,958","00:07:26,000"
"82","108","잊은 줄 알았지?",NA,"00:07:30,541","00:07:31,708"
"83","109","생일 축하해",NA,"00:07:32,208","00:07:33,208"
"84","110","뭐 해, 빨리 풀어봐","석우","00:07:34,875","00:07:36,291"
"85","112","왜?",NA,"00:07:53,791","00:07:54,833"
"86","113","마음에 안 들어?",NA,"00:07:55,500","00:07:56,541"
"87","114","이번 어린이날",NA,"00:08:10,833","00:08:12,375"
"88","115","뭐, 다른 거",NA,"00:08:16,875","00:08:19,458"
"89","116","원하는 거 있으면 말해봐",NA,"00:08:20,000","00:08:21,666"
"90","117","부산",NA,"00:08:23,250","00:08:24,291"
"91","118","엄마한테 가고 싶어요",NA,"00:08:24,916","00:08:26,750"
