"","idx","script","speaker","time_from","time_to"
"1","1","'실제 수사 기록에 기초하였음'",NA,"00:00:18,476","00:00:21,479"
"2","2","'1969년 7월 4일 캘리포니아, 벌레이오'",NA,"00:00:44,794","00:00:49,632"
"3","3","어디 갔다 이제 와요? 7시부터 기다렸는데",NA,"00:01:04,105","00:01:06,232"
"4","4","타, 폭죽 사야 해",NA,"00:01:06,399","00:01:08,818"
"5","5","내가 운전할게요 ",NA,"00:01:08,985","00:01:13,615"
"6","5","그냥 타, 종일 굶어서 배고프단 말야",NA,"00:01:08,985","00:01:13,615"
"7","6","안 탈 거야?",NA,"00:01:15,575","00:01:17,702"
"8","7","너무 북적댄다",NA,"00:01:37,806","00:01:39,641"
"9","8","배고프다면서요?",NA,"00:01:39,974","00:01:42,060"
"10","9","조용한 데로 가자",NA,"00:01:43,645","00:01:46,064"
"11","10","좋아요",NA,"00:01:47,273","00:01:48,942"
"12","11","여긴 왜요?",NA,"00:01:59,994","00:02:01,538"
"13","12","차에 앉아서 음악 듣자 얘기도 하고",NA,"00:02:03,289","00:02:07,752"
"14","13","오늘 좀 이상한데 괜찮아요?",NA,"00:02:08,586","00:02:10,713"
"15","14","응, 괜찮아",NA,"00:02:10,880","00:02:12,924"
"16","15","7월인데 도대체 몇 벌이나 껴입은 거야?",NA,"00:02:20,265","00:02:22,934"
"17","16","추워서요 ",NA,"00:02:23,101","00:02:26,271"
"18","16","7월 4일인데 춥다고?",NA,"00:02:23,101","00:02:26,271"
"19","17","죽어버려, 등신들아!",NA,"00:02:30,733","00:02:33,153"
"20","18","왜요?",NA,"00:02:38,992","00:02:40,326"
"21","19","""죽어버려, 등신들아""?",NA,"00:02:40,493","00:02:42,203"
"22","20","놀리지 마요",NA,"00:02:43,621","00:02:45,456"
"23","21","아까 봤던 차예요",NA,"00:03:10,189","00:03:12,775"
"24","22","식당에서 봤어요",NA,"00:03:14,944","00:03:17,739"
"25","23","가라고 할까요? ",NA,"00:03:23,578","00:03:27,165"
"26","23","내리지 마",NA,"00:03:23,578","00:03:27,165"
"27","24","남편이에요? ",NA,"00:03:42,388","00:03:44,974"
"28","24","아니",NA,"00:03:42,388","00:03:44,974"
"29","25","누구예요, 달린?",NA,"00:03:48,478","00:03:49,812"
"30","26","걱정하지 마",NA,"00:03:51,272","00:03:53,233"
"31","27","걱정하지 말라니요, 누군데요?",NA,"00:03:53,399","00:03:55,235"
"32","28","아무도 아니야",NA,"00:03:55,401","00:03:57,028"
"33","29","젠장",NA,"00:04:16,880","00:04:18,757"
"34","30","가요",NA,"00:04:21,427","00:04:23,221"
"35","31","어서요",NA,"00:04:26,224","00:04:27,892"
"36","32","면허증 꺼내요",NA,"00:04:39,904","00:04:41,489"
"37","33","놀랐잖아요 경찰 아저씨",NA,"00:04:49,747","00:04:51,749"
"38","34","<i>",NA,"00:05:54,228","00:05:57,315"
"39","34","경찰입니다</i> <i>",NA,"00:05:54,228","00:05:57,315"
"40","34","이중 살인 사건이오</i>",NA,"00:05:54,228","00:05:57,315"
"41","35","<i>",NA,"00:05:57,482","00:06:00,234"
"42","35","성함이...</i> <i>",NA,"00:05:57,482","00:06:00,234"
"43","35","콜럼버스 파크웨이</i>",NA,"00:05:57,482","00:06:00,234"
"44","36","<i>동쪽 1.5km 지점 공원</i> <i>갈색 승용차</i>",NA,"00:06:00,401","00:06:04,989"
"45","37","<i>범행 도구는</i> <i>9m 루거 권총</i>",NA,"00:06:05,156","00:06:09,327"
"46","38","<i>작년 성탄절 사건도</i> <i>내가 범인이오</i>",NA,"00:06:09,494","00:06:12,330"
"47","39","<i>이만 끊겠소</i>",NA,"00:06:12,830","00:06:15,166"
"48","40","'4주 후 ",NA,"00:06:18,669","00:06:21,339"
"49","40","샌프란시스코'",NA,"00:06:18,669","00:06:21,339"
"50","41","뱉어",NA,"00:06:32,809","00:06:34,477"
"51","42","얼른",NA,"00:06:34,727","00:06:36,395"
"52","43","삼켰어",NA,"00:06:36,604","00:06:38,022"
"53","44","왜?",NA,"00:06:38,189","00:06:39,482"
"54","45","박하 맛이라서",NA,"00:06:39,649","00:06:41,651"
"55","46","그럼 안 돼, 배탈 나",NA,"00:06:42,026","00:06:44,070"
"56","47","도시락 가져가",NA,"00:06:45,279","00:06:46,364"
"57","48","스쿨버스 안 타고? ",NA,"00:06:47,031","00:06:50,159"
"58","48","늦었어",NA,"00:06:47,031","00:06:50,159"
"59","49","오늘 밤은 엄마랑 에런이랑 같이 잘 거야",NA,"00:06:52,078","00:06:55,331"
"60","50","동생 생긴 거 싫어?",NA,"00:06:55,998","00:06:58,167"
"61","51","응, 싫어",NA,"00:06:58,334","00:07:00,294"
"62","52","솔직해서 좋네",NA,"00:07:00,461","00:07:02,296"
"63","53","많이 배워와",NA,"00:07:04,048","00:07:05,174"
"64","54","조디악",NA,"00:07:05,341","00:07:06,551"
